,0
882,4
883,3
884,3
885,2
886,4
887,3
888,3
889,2
890,3
891,3
892,2
893,3
894,5
895,3
896,4
897,3
898,4
899,3
900,4
901,2
902,3
903,3
904,2
905,4
906,4
907,3
908,2
909,4
910,4
911,2
912,2
913,3
914,4
915,3
916,4
917,4
918,5
919,1
920,3
921,4
922,3
923,4
924,4
925,2
926,3
927,3
928,2
929,4
930,4
931,2
932,4
933,5
934,2
935,3
936,3
937,3
938,3
939,2
940,2
941,4
942,3
943,3
944,3
945,5
946,4
947,3
948,3
949,2
950,3
951,3
952,2
953,4
954,3
955,4
956,4
957,3
958,3
959,5
960,4
961,4
962,2
963,2
964,2
965,4
966,3
967,5
968,3
969,3
970,3
971,3
972,2
973,3
974,4
975,3
976,4
977,3
978,3
979,4
980,3
981,3
982,3
983,3
984,2
985,3
986,3
987,3
988,3
989,4
990,3
991,4
992,3
993,3
994,3
995,4
996,2
997,2
998,3
999,5
1000,4
