,0
983,3313
984,1164
985,371
986,1306
987,2993
988,4150
989,3541
990,1575
991,3742
992,1484
993,3834
994,2548
995,4755
996,1858
997,258
998,3835
999,769
1000,2061
