,0,1,2,3
60,abundance,0.0,0.0,1.0
61,abuse,0.625,0.75,0.0
62,abused,0.375,0.625,0.0
63,abysmal,0.25,0.25,0.0
64,academic,0.5,0.625,0.0
65,academy,0.125,0.125,0.0
66,accent,0.75,0.0,0.0
67,accept,0.625,0.125,0.0
68,acceptable,0.625,0.0,0.0
69,acceptance,0.25,0.25,0.0
70,accepted,0.5,0.0,0.0
71,accepting,0.375,0.125,0.0
72,access,0.0,0.0,1.0
73,accessible,0.625,0.125,0.0
74,accident,0.0,0.75,0.0
75,accidentally,0.25,0.125,0.0
76,acclaim,0.625,0.0,0.0
77,acclaimed,0.0,0.0,1.0
78,accolade,0.5,0.0,0.0
79,accompanied,0.0,0.0,1.0
80,accompanies,0.0,0.0,1.0
81,accompanying,0.0,0.0,1.0
82,accomplish,0.125,0.125,0.0
83,accomplished,0.75,0.0,0.0
84,accomplishes,0.0,0.0,1.0
85,accomplishment,0.25,0.0,0.0
86,accorded,0.0,0.0,1.0
87,according,0.125,0.0,0.0
88,account,0.875,0.125,0.0
89,accountant,0.0,0.0,1.0
90,accuracy,0.5,0.0,0.0
91,accurate,0.5,0.0,0.0
92,accurately,0.25,0.0,0.0
93,accusation,0.125,0.375,0.0
94,accuse,0.125,0.0,0.0
95,accused,0.0,0.0,1.0
96,ace,0.625,0.5,0.0
97,acerbic,0.125,0.625,0.0
98,achieve,0.125,0.125,0.0
99,achieved,0.0,0.0,1.0
100,achievement,0.0,0.0,1.0
101,achieves,0.0,0.0,1.0
102,acid,0.125,0.625,0.0
103,acknowledge,0.375,0.0,0.0
104,acquired,0.0,0.0,1.0
105,acre,0.0,0.0,1.0
106,across,0.0,0.0,1.0
107,act,0.375,0.25,0.0
108,acted,0.0,0.0,1.0
109,acting,0.125,0.0,0.0
110,action,0.375,0.125,0.0
111,actionadventure,0.0,0.0,1.0
112,actioner,0.0,0.0,1.0
113,actionpacked,0.0,0.0,1.0
114,actively,0.5,0.0,0.0
115,activity,0.125,0.125,0.0
116,actor,0.0,0.0,1.0
117,actress,0.0,0.0,1.0
118,actual,0.5,0.5,0.0
119,actually,0.375,0.0,0.0
120,ad,0.0,0.0,1.0
121,ada,0.0,0.0,1.0
122,adam,0.0,0.0,1.0
123,adapt,0.25,0.0,0.0
124,adaptation,0.0,0.0,1.0
125,adapted,0.0,0.0,1.0
126,adapting,0.0,0.0,1.0
127,add,0.625,0.25,0.0
128,addams,0.0,0.0,1.0
129,added,0.0,0.0,1.0
130,addict,0.0,0.0,1.0
131,addicted,0.0,0.0,1.0
132,addiction,0.375,0.25,0.0
133,adding,0.0,0.0,1.0
134,addition,0.0,0.0,1.0
135,additional,0.0,0.0,1.0
136,additionally,0.0,0.0,1.0
137,address,0.375,0.0,0.0
138,addressed,0.125,0.0,0.0
139,addressing,0.0,0.0,1.0
140,adept,0.625,0.0,0.0
141,adequate,0.25,0.375,0.0
142,adequately,0.25,0.0,0.0
143,adjani,0.0,0.0,1.0
144,adjective,0.0,0.0,1.0
145,admirable,0.875,0.0,0.0
146,admirably,0.5,0.0,0.0
147,admiration,0.75,0.125,0.0
148,admire,0.625,0.125,0.0
149,admired,0.5,0.0,0.0
150,admiring,0.0,0.0,1.0
151,admission,0.5,0.0,0.0
152,admit,0.125,0.0,0.0
153,admits,0.0,0.0,1.0
154,admitted,0.0,0.0,1.0
155,admittedly,0.0,0.0,1.0
156,ado,0.0,0.0,1.0
157,adolescence,0.0,0.0,1.0
158,adolescent,0.25,0.25,0.0
159,adopt,0.0,0.0,1.0
160,adopted,0.5,0.0,0.0
161,adopts,0.0,0.0,1.0
162,adorable,0.5,0.0,0.0
163,adrenaline,0.125,0.0,0.0
164,adrian,0.0,0.0,1.0
165,adrift,0.375,0.0,0.0
166,adult,0.5,0.125,0.0
167,adultery,0.0,0.0,1.0
168,adulthood,0.0,0.0,1.0
169,advance,0.5,0.125,0.0
170,advanced,0.5,0.25,0.0
171,advantage,0.625,0.0,0.0
172,adventure,0.5,0.25,0.0
173,adventurous,0.625,0.25,0.0
174,adversary,0.0,0.0,1.0
175,adversity,0.0,0.625,0.0
176,advertisement,0.0,0.0,1.0
177,advertising,0.0,0.0,1.0
178,advice,0.0,0.0,1.0
179,advise,0.0,0.0,1.0
180,advised,0.5,0.0,0.0
181,advises,0.0,0.0,1.0
182,advocate,0.125,0.125,0.0
183,aesthetic,0.875,0.0,0.0
184,affable,0.625,0.0,0.0
185,affair,0.375,0.25,0.0
186,affect,0.125,0.25,0.0
187,affected,0.375,0.5,0.0
188,affecting,0.5,0.125,0.0
189,affection,0.625,0.25,0.0
190,affinity,0.5,0.5,0.0
191,affirming,0.0,0.0,1.0
192,affleck,0.0,0.0,1.0
193,affliction,0.0,0.625,0.0
194,afford,0.0,0.0,1.0
195,afforded,0.0,0.0,1.0
196,aficionado,0.0,0.0,1.0
197,afloat,0.375,0.0,0.0
198,aforementioned,0.0,0.0,1.0
199,afraid,0.375,0.75,0.0
200,africa,0.0,0.0,1.0
201,african,0.0,0.0,1.0
202,africanamerican,0.0,0.0,1.0
203,africanamericans,0.0,0.0,1.0
204,afterall,0.0,0.0,1.0
205,afterlife,0.0,0.0,1.0
206,afternoon,0.0,0.0,1.0
207,afterthought,0.0,0.625,0.0
208,afterwards,0.0,0.0,1.0
209,age,0.25,0.0,0.0
210,aged,0.5,0.0,0.0
211,agenda,0.0,0.0,1.0
212,agent,0.5,0.0,0.0
213,ageold,0.0,0.0,1.0
214,aggravating,0.0,0.25,0.0
215,aggressive,0.5,0.25,0.0
216,aging,0.25,0.25,0.0
217,agnes,0.0,0.0,1.0
218,ago,0.0,0.0,1.0
219,agonizing,0.25,0.75,0.0
220,agony,0.0,0.625,0.0
221,agree,0.875,0.25,0.0
222,agreed,0.0,0.0,1.0
223,ah,0.0,0.0,1.0
224,ahead,0.25,0.0,0.0
225,ai,0.0,0.0,1.0
226,aid,0.5,0.25,0.0
227,aidan,0.0,0.0,1.0
228,aided,0.0,0.0,1.0
229,aim,0.125,0.0,0.0
230,aimed,0.0,0.0,1.0
231,aiming,0.0,0.0,1.0
232,aimlessly,0.25,0.0,0.0
233,air,0.0,0.125,0.0
234,airhead,0.0,0.0,1.0
235,airplane,0.0,0.0,1.0
236,airport,0.0,0.0,1.0
237,aisle,0.0,0.0,1.0
238,akin,0.25,0.25,0.0
239,akira,0.0,0.0,1.0
240,akiva,0.0,0.0,1.0
241,al,0.0,0.0,1.0
242,ala,0.0,0.0,1.0
243,alabama,0.0,0.0,1.0
244,aladdin,0.0,0.0,1.0
245,alain,0.0,0.0,1.0
246,alan,0.0,0.0,1.0
247,alarming,0.0,0.5,0.0
248,alaska,0.0,0.0,1.0
249,albeit,0.0,0.0,1.0
250,albert,0.0,0.0,1.0
251,alcohol,0.0,0.0,1.0
252,alcoholic,0.0,0.0,1.0
253,alcoholism,0.125,0.125,0.0
254,alda,0.0,0.0,1.0
255,alec,0.0,0.0,1.0
256,alex,0.0,0.0,1.0
257,alexander,0.0,0.0,1.0
258,alexandre,0.0,0.0,1.0
259,alfred,0.0,0.0,1.0
260,ali,0.0,0.0,1.0
261,alice,0.0,0.0,1.0
262,alicia,0.0,0.0,1.0
263,alien,0.5,0.75,0.0
264,alienation,0.125,0.625,0.0
265,alike,0.5,0.0,0.0
266,alison,0.0,0.0,1.0
267,alist,0.0,0.0,1.0
268,alive,0.625,0.0,0.0
269,allegory,0.125,0.0,0.0
270,allen,0.0,0.0,1.0
271,alley,0.0,0.0,1.0
272,alligator,0.0,0.25,0.0
273,allinall,0.0,0.0,1.0
274,allison,0.0,0.0,1.0
275,allow,0.375,0.25,0.0
276,allowed,0.0,0.0,1.0
277,allowing,0.0,0.0,1.0
278,allows,0.0,0.0,1.0
279,alltime,0.0,0.0,1.0
280,allure,0.25,0.0,0.0
281,alluring,0.5,0.0,0.0
282,allusion,0.0,0.0,1.0
283,ally,0.25,0.0,0.0
284,almereyda,0.0,0.0,1.0
285,almod,0.0,0.0,1.0
286,almodovar,0.0,0.0,1.0
287,almost,0.0,0.0,1.0
288,alone,0.375,0.25,0.0
289,along,0.0,0.0,1.0
290,alongside,0.0,0.0,1.0
291,aloof,0.25,0.0,0.0
292,aloud,0.0,0.0,1.0
293,already,0.125,0.0,0.0
294,also,0.0,0.0,1.0
295,alter,0.125,0.375,0.0
296,altered,0.0,0.125,0.0
297,alternate,0.125,0.0,0.0
298,alternately,0.0,0.0,1.0
299,alternative,0.125,0.125,0.0
300,although,0.0,0.0,1.0
301,altman,0.0,0.0,1.0
302,altogether,0.5,0.25,0.0
303,alvin,0.0,0.0,1.0
304,always,0.125,0.25,0.0
305,alyssa,0.0,0.0,1.0
306,amalgamation,0.0,0.0,1.0
307,amanda,0.0,0.0,1.0
308,amateur,0.375,0.625,0.0
309,amateurish,0.375,0.125,0.0
310,amazed,0.75,0.25,0.0
311,amazing,0.875,0.25,0.0
312,amazingly,0.125,0.0,0.0
313,amber,0.0,0.0,1.0
314,ambiance,0.0,0.0,1.0
315,ambiguity,0.25,0.0,0.0
316,ambiguous,0.25,0.625,0.0
317,ambition,0.5,0.125,0.0
318,ambitious,0.5,0.5,0.0
319,ambivalent,0.0,0.625,0.0
320,amc,0.0,0.0,1.0
321,america,0.0,0.0,1.0
322,american,0.0,0.0,1.0
323,amiable,0.75,0.0,0.0
324,amidst,0.0,0.0,1.0
325,amistad,0.0,0.0,1.0
326,among,0.0,0.0,1.0
327,amongst,0.0,0.0,1.0
328,amoral,0.0,0.0,1.0
329,amount,0.0,0.375,0.0
330,ample,0.125,0.0,0.0
331,amply,0.375,0.0,0.0
332,amuse,0.875,0.0,0.0
333,amused,0.0,0.125,0.0
334,amusement,0.125,0.5,0.0
335,amusing,0.5,0.0,0.0
336,amy,0.0,0.0,1.0
337,anachronistic,0.0,0.0,1.0
338,anaconda,0.0,0.0,1.0
339,analysis,0.0,0.0,1.0
340,analyze,0.0,0.125,0.0
341,anastasia,0.0,0.0,1.0
342,anatomy,0.125,0.0,0.0
343,ancestor,0.0,0.0,1.0
344,anchor,0.0,0.0,1.0
345,ancient,0.0,0.125,0.0
346,and20,0.0,0.0,1.0
347,anders,0.0,0.0,1.0
348,anderson,0.0,0.0,1.0
349,andie,0.0,0.0,1.0
350,andor,0.0,0.0,1.0
351,andre,0.0,0.0,1.0
352,andrew,0.0,0.0,1.0
353,andy,0.0,0.0,1.0
354,anecdote,0.0,0.0,1.0
355,ang,0.0,0.0,1.0
356,angel,0.125,0.0,0.0
357,angela,0.0,0.0,1.0
358,angeles,0.0,0.0,1.0
359,angelo,0.0,0.0,1.0
360,anger,0.375,1.0,0.0
361,angie,0.0,0.0,1.0
362,angle,0.0,0.375,0.0
363,angrier,0.0,0.0,1.0
364,angry,0.375,0.875,0.0
365,angst,0.0,0.125,0.0
366,anguish,0.0,0.625,0.0
367,angus,0.375,0.0,0.0
368,animal,0.125,0.375,0.0
369,animated,0.375,0.0,0.0
370,animation,0.625,0.0,0.0
371,animator,0.125,0.0,0.0
372,animatronic,0.0,0.0,1.0
373,aniston,0.0,0.0,1.0
374,anita,0.0,0.0,1.0
375,ann,0.0,0.0,1.0
376,anna,0.0,0.0,1.0
377,annaud,0.0,0.0,1.0
378,anne,0.0,0.0,1.0
379,annie,0.0,0.0,1.0
380,anniversary,0.0,0.0,1.0
381,announced,0.0,0.0,1.0
382,announcement,0.0,0.0,1.0
383,announcer,0.0,0.0,1.0
384,announces,0.0,0.0,1.0
385,annoyance,0.0,0.5,0.0
386,annoyed,0.0,0.625,0.0
387,annoying,0.0,0.5,0.0
388,anonymous,0.125,0.5,0.0
389,another,0.0,0.125,0.0
390,answer,0.375,0.5,0.0
391,answered,0.0,0.0,1.0
392,answering,0.0,0.25,0.0
393,ant,0.0,0.0,1.0
394,antagonist,0.125,0.0,0.0
395,anthem,0.0,0.0,1.0
396,anthony,0.0,0.0,1.0
397,antic,0.5,0.25,0.0
398,anticipated,0.25,0.0,0.0
399,anticipating,0.0,0.0,1.0
400,anticipation,0.5,0.25,0.0
401,anticlimactic,0.125,0.0,0.0
402,antihero,0.0,0.0,1.0
403,antiseptic,0.75,0.5,0.0
404,antiwar,0.0,0.0,1.0
405,antoine,0.0,0.0,1.0
406,anton,0.0,0.0,1.0
407,antonia,0.0,0.0,1.0
408,antonio,0.0,0.0,1.0
409,antonioni,0.0,0.0,1.0
410,antz,0.0,0.0,1.0
411,anxiety,0.125,0.75,0.0
412,anybody,0.0,0.0,1.0
413,anymore,0.0,0.0,1.0
414,anyone,0.0,0.0,1.0
415,anything,0.0,0.0,1.0
416,anyway,0.0,0.0,1.0
417,anywhere,0.0,0.0,1.0
418,aparajito,0.0,0.0,1.0
419,apart,0.5,0.5,0.0
420,apartment,0.0,0.0,1.0
421,apathy,0.0,0.625,0.0
422,ape,0.0,0.5,0.0
423,aphrodite,0.0,0.0,1.0
424,aplenty,0.0,0.0,1.0
425,aplomb,0.125,0.375,0.0
426,apocalypse,0.625,0.5,0.0
427,apocalyptic,0.0,0.125,0.0
428,apollo,0.0,0.0,1.0
429,apologize,0.0,0.625,0.0
430,apology,0.0,0.75,0.0
431,apostle,0.0,0.0,1.0
432,appalling,0.125,0.5,0.0
433,apparent,0.625,0.125,0.0
434,apparently,0.5,0.125,0.0
435,apparition,0.125,0.25,0.0
436,appeal,0.625,0.25,0.0
437,appealing,0.25,0.375,0.0
438,appear,0.125,0.125,0.0
439,appearance,0.125,0.0,0.0
440,appeared,0.0,0.0,1.0
441,appearing,0.0,0.0,1.0
442,appears,0.0,0.0,1.0
443,appetite,0.25,0.5,0.0
444,applaud,0.0,0.0,1.0
445,applauding,0.0,0.0,1.0
446,applause,0.375,0.0,0.0
447,apple,0.0,0.0,1.0
448,applied,0.0,0.0,1.0
449,applies,0.0,0.0,1.0
450,apply,0.25,0.125,0.0
451,appreciate,0.375,0.125,0.0
452,appreciated,0.375,0.0,0.0
453,appreciation,0.75,0.125,0.0
454,approach,0.5,0.375,0.0
455,approached,0.0,0.0,1.0
456,approaching,0.0,0.0,1.0
457,appropriate,0.125,0.0,0.0
458,appropriately,0.25,0.0,0.0
459,approval,0.625,0.0,0.0
460,approximately,0.5,0.25,0.0
461,april,0.0,0.0,1.0
462,apropos,0.5,0.125,0.0
463,apt,0.5,0.75,0.0
464,apted,0.0,0.0,1.0
465,aptitude,0.125,0.0,0.0
466,aptly,0.375,0.0,0.0
467,apu,0.0,0.0,1.0
468,arbitrary,0.0,0.0,1.0
469,arc,0.0,0.0,1.0
470,archer,0.0,0.0,1.0
471,archie,0.0,0.0,1.0
472,archival,0.0,0.0,1.0
473,area,0.0,0.0,1.0
474,arena,0.0,0.0,1.0
475,arguably,0.0,0.0,1.0
476,argue,0.0,0.0,1.0
477,argued,0.0,0.0,1.0
478,argues,0.0,0.0,1.0
479,arguing,0.125,0.0,0.0
480,argument,0.125,0.0,0.0
481,arise,0.0,0.125,0.0
482,ark,0.0,0.0,1.0
483,arkin,0.0,0.0,1.0
484,arlene,0.0,0.0,1.0
485,arm,0.0,0.0,1.0
486,armageddon,0.0,0.75,0.0
487,armand,0.0,0.0,1.0
488,armed,0.25,0.125,0.0
489,armor,0.0,0.125,0.0
490,armstrong,0.0,0.0,1.0
491,army,0.0,0.0,1.0
492,arnaud,0.0,0.0,1.0
493,arnold,0.0,0.0,1.0
494,aronofsky,0.0,0.0,1.0
495,around,0.5,0.25,0.0
496,arquette,0.0,0.0,1.0
497,arrangement,0.0,0.0,1.0
498,array,0.125,0.25,0.0
499,arrest,0.0,0.125,0.0
500,arrested,0.0,0.0,1.0
501,arresting,0.0,0.0,1.0
502,arrival,0.0,0.0,1.0
503,arrive,0.0,0.0,1.0
504,arrived,0.0,0.0,1.0
505,arrives,0.0,0.0,1.0
506,arrogance,0.5,0.375,0.0
507,arrogant,0.5,0.375,0.0
508,arrow,0.0,0.0,1.0
509,art,0.375,0.0,0.0
510,arteta,0.0,0.0,1.0
511,artfully,0.25,0.0,0.0
512,arthouse,0.0,0.0,1.0
513,arthur,0.0,0.0,1.0
514,article,0.0,0.0,1.0
515,articulate,0.125,0.625,0.0
516,artifice,0.0,0.0,1.0
517,artificial,0.25,0.75,0.0
518,artist,0.0,0.0,1.0
519,artistic,0.875,0.0,0.0
520,artistically,0.125,0.0,0.0
521,artistry,0.375,0.0,0.0
522,artsy,0.0,0.0,1.0
523,arty,0.0,0.25,0.0
524,as,0.0,0.125,0.0
525,ash,0.0,0.0,1.0
526,ashamed,0.0,0.75,0.0
527,ashley,0.0,0.0,1.0
528,asian,0.0,0.0,1.0
529,aside,0.0,0.5,0.0
530,ask,0.25,0.25,0.0
531,asked,0.0,0.0,1.0
532,asking,0.0,0.0,1.0
533,asks,0.0,0.0,1.0
534,asleep,0.0,0.5,0.0
535,aspect,0.0,0.0,1.0
536,aspiration,0.5,0.125,0.0
537,aspires,0.0,0.0,1.0
538,aspiring,0.5,0.0,0.0
539,assassin,0.0,0.0,1.0
540,assassination,0.0,0.25,0.0
541,assault,0.25,0.375,0.0
542,assembled,0.0,0.0,1.0
543,assertion,0.375,0.0,0.0
544,asset,0.625,0.0,0.0
545,assignment,0.0,0.0,1.0
546,assistant,0.0,0.0,1.0
547,associate,0.125,0.5,0.0
548,associated,0.0,0.0,1.0
549,association,0.0,0.0,1.0
550,assorted,0.125,0.375,0.0
551,assume,0.0,0.5,0.0
552,assumed,0.0,0.0,1.0
553,assumes,0.0,0.0,1.0
554,assuming,0.0,0.5,0.0
555,assumption,0.25,0.5,0.0
556,assure,0.5,0.0,0.0
557,assured,0.625,0.375,0.0
558,astonishing,0.5,0.25,0.0
559,astonishingly,0.125,0.0,0.0
560,astounding,0.5,0.375,0.0
561,astronaut,0.0,0.0,1.0
562,astute,0.5,0.0,0.0
563,athlete,0.0,0.0,1.0
564,athletic,0.375,0.0,0.0
565,atkinson,0.0,0.0,1.0
566,atmosphere,0.0,0.0,1.0
567,atmospheric,0.0,0.0,1.0
568,atmospherics,0.0,0.0,1.0
569,atom,0.0,0.0,1.0
570,atrocious,0.0,0.875,0.0
571,atrocity,0.125,0.875,0.0
572,attached,0.125,0.125,0.0
573,attack,0.25,0.5,0.0
574,attacking,0.25,0.0,0.0
575,attain,0.125,0.125,0.0
576,attained,0.0,0.0,1.0
577,attains,0.0,0.0,1.0
578,attanasio,0.0,0.0,1.0
579,attempt,0.0,0.0,1.0
580,attempted,0.0,0.25,0.0
581,attempting,0.0,0.0,1.0
582,attenborough,0.0,0.0,1.0
583,attend,0.0,0.0,1.0
584,attendant,0.0,0.0,1.0
585,attended,0.0,0.0,1.0
586,attention,0.25,0.125,0.0
587,attitude,0.0,0.0,1.0
588,attorney,0.0,0.0,1.0
589,attract,0.625,0.0,0.0
590,attracted,0.0,0.0,1.0
591,attraction,0.625,0.25,0.0
592,attractive,0.875,0.0,0.0
593,attracts,0.0,0.0,1.0
594,attribute,0.0,0.0,1.0
595,attributed,0.0,0.0,1.0
596,atypical,0.0,0.75,0.0
597,audacious,0.75,0.125,0.0
598,audacity,0.375,0.375,0.0
599,audience,0.125,0.0,0.0
600,audio,0.0,0.0,1.0
601,audition,0.375,0.0,0.0
602,audrey,0.0,0.0,1.0
603,august,0.5,0.25,0.0
604,aura,0.0,0.125,0.0
605,aurora,0.0,0.0,1.0
606,austen,0.0,0.0,1.0
607,austin,0.0,0.0,1.0
608,australia,0.0,0.0,1.0
609,australian,0.0,0.0,1.0
610,auteuil,0.0,0.0,1.0
611,auteur,0.0,0.0,1.0
612,authentic,0.625,0.6,0.0
613,authenticity,0.375,0.25,0.0
614,author,0.0,0.0,1.0
615,authority,0.125,0.0,0.0
616,autobiographical,0.0,0.0,1.0
617,autobiography,0.0,0.0,1.0
618,automobile,0.0,0.0,1.0
619,autopilot,0.0,0.0,1.0
620,autopsy,0.0,0.0,1.0
621,autumn,0.0,0.0,1.0
622,availability,0.5,0.125,0.0
623,available,0.375,0.0,0.0
624,avantgarde,0.0,0.0,1.0
625,avenger,0.0,0.0,1.0
626,avenue,0.0,0.0,1.0
627,average,0.375,0.625,0.0
628,avnet,0.0,0.0,1.0
629,avoid,0.0,0.375,0.0
630,avoided,0.0,0.0,1.0
631,avoiding,0.0,0.0,1.0
632,avoids,0.0,0.0,1.0
633,awake,0.625,0.5,0.0
634,awakening,0.0,0.0,1.0
635,award,0.5,0.0,0.0
636,awarding,0.0,0.0,1.0
637,awardwinning,0.0,0.0,1.0
638,aware,0.625,0.0,0.0
639,awareness,0.5,0.0,0.0
640,away,0.0,0.5,0.0
641,awe,0.5,0.25,0.0
642,aweinspiring,0.0,0.0,1.0
643,awesome,0.875,0.125,0.0
644,awful,0.875,0.875,0.0
645,awfully,0.25,0.75,0.0
646,awhile,0.0,0.0,1.0
647,awkward,0.5,0.75,0.0
648,awkwardly,0.125,0.0,0.0
649,awkwardness,0.125,0.5,0.0
650,awry,0.375,0.75,0.0
651,axel,0.0,0.0,1.0
652,aykroyd,0.0,0.0,1.0
653,babaloo,0.0,0.0,1.0
654,babe,0.125,0.125,0.0
655,baby,0.375,0.5,0.0
656,bach,0.0,0.0,1.0
657,bachelor,0.0,0.0,1.0
658,back,0.5,0.25,0.0
659,backbeat,0.0,0.125,0.0
660,backbone,0.25,0.25,0.0
661,backdrop,0.0,0.0,1.0
662,backed,0.0,0.0,1.0
663,backer,0.0,0.0,1.0
664,background,0.625,0.125,0.0
665,backstage,0.0,0.0,1.0
666,backstory,0.0,0.0,1.0
667,backward,0.5,0.0,0.0
668,bacon,0.125,0.0,0.0
669,bad,0.25,1.0,0.0
670,badly,0.125,0.75,0.0
671,baffle,0.125,0.25,0.0
672,baffled,0.0,0.5,0.0
673,baffling,0.0,0.5,0.0
674,bag,0.5,0.625,0.0
675,baggage,0.125,0.25,0.0
676,bait,0.125,0.125,0.0
677,baker,0.0,0.0,1.0
678,balance,0.0,0.0,1.0
679,balanced,0.125,0.0,0.0
680,bald,0.0,0.625,0.0
681,balderdash,0.375,0.0,0.0
682,baldwin,0.0,0.0,1.0
683,bale,0.0,0.0,1.0
684,ball,0.0,0.0,1.0
685,ballad,0.0,0.0,1.0
686,ballard,0.0,0.0,1.0
687,ballet,0.0,0.0,1.0
688,balloon,0.25,0.125,0.0
689,ballroom,0.0,0.0,1.0
690,balto,0.0,0.0,1.0
691,banal,0.0,0.375,0.0
692,banality,0.125,0.0,0.0
693,banana,0.0,0.0,1.0
694,band,0.25,0.0,0.0
695,banderas,0.0,0.0,1.0
696,bandit,0.0,0.0,1.0
697,bang,0.625,0.25,0.0
698,bank,0.375,0.0,0.0
699,banquet,0.25,0.0,0.0
700,banter,0.0,0.375,0.0
701,bar,0.0,0.375,0.0
702,barb,0.0,0.0,1.0
703,barbara,0.0,0.0,1.0
704,barbet,0.0,0.0,1.0
705,barcelona,0.0,0.0,1.0
706,bard,0.125,0.0,0.0
707,bare,0.5,0.75,0.0
708,barely,0.125,0.375,0.0
709,bargain,0.5,0.0,0.0
710,barney,0.0,0.0,1.0
711,barrage,0.0,0.0,1.0
712,barrel,0.0,0.0,1.0
713,barren,0.25,0.875,0.0
714,barrier,0.0,0.0,1.0
715,barry,0.0,0.0,1.0
716,barrymore,0.0,0.0,1.0
717,bart,0.0,0.0,1.0
718,barton,0.0,0.0,1.0
719,base,0.625,0.875,0.0
720,baseball,0.0,0.0,1.0
721,based,0.0,0.0,1.0
722,basic,0.25,0.0,0.0
723,basically,0.5,0.0,0.0
724,basil,0.0,0.0,1.0
725,basinger,0.0,0.0,1.0
726,basis,0.25,0.0,0.0
727,basketball,0.0,0.0,1.0
728,basquiat,0.0,0.0,1.0
729,bass,0.0,0.25,0.0
730,bat,0.125,0.0,0.0
731,bates,0.0,0.0,1.0
732,bath,0.0,0.0,1.0
733,bathroom,0.0,0.0,1.0
734,batman,0.0,0.0,1.0
735,batting,0.0,0.0,1.0
736,battle,0.0,0.25,0.0
737,battlefield,0.0,0.0,1.0
738,baumbach,0.0,0.0,1.0
739,bawdy,0.125,0.625,0.0
740,bay,0.125,0.25,0.0
741,bayou,0.0,0.0,1.0
742,baz,0.0,0.0,1.0
743,bbc,0.0,0.0,1.0
744,beach,0.0,0.0,1.0
745,bean,0.0,0.125,0.0
746,bear,0.125,0.5,0.0
747,bearable,0.125,0.75,0.0
748,beard,0.0,0.0,1.0
749,bearing,0.5,0.0,0.0
750,beart,0.0,0.0,1.0
751,beast,0.0,0.375,0.0
752,beat,0.625,0.375,0.0
753,beaten,0.0,0.25,0.0
754,beating,0.0,0.125,0.0
755,beatles,0.0,0.0,1.0
756,beatrice,0.0,0.0,1.0
757,beatty,0.0,0.0,1.0
758,beaumarchais,0.0,0.0,1.0
759,beautician,0.125,0.0,0.0
760,beautiful,0.75,0.0,0.0
761,beautifully,0.375,0.0,0.0
762,beauty,0.5,0.0,0.0
763,beaver,0.0,0.25,0.0
764,beavis,0.0,0.0,1.0
765,became,0.0,0.0,1.0
766,becker,0.0,0.0,1.0
767,become,0.125,0.0,0.0
768,becomes,0.0,0.0,1.0
769,becoming,0.625,0.0,0.0
770,bed,0.375,0.125,0.0
771,bedroom,0.0,0.0,1.0
772,bee,0.0,0.0,1.0
773,beer,0.0,0.0,1.0
774,beethoven,0.0,0.0,1.0
775,beforehand,0.125,0.0,0.0
776,befuddled,0.125,0.5,0.0
777,began,0.0,0.0,1.0
778,begin,0.125,0.5,0.0
779,beginning,0.125,0.0,0.0
780,begs,0.0,0.0,1.0
781,beguiling,0.625,0.25,0.0
782,begun,0.0,0.0,1.0
783,behave,0.375,0.0,0.0
784,behavior,0.25,0.0,0.0
785,behind,0.0,0.125,0.0
